score,harness,beta,ci_lo,ci_hi,perm_p,verdict
completion,hermes,0.3476,-0.1895,0.8185,0.1530,indistinguishable from null
completion,moltis-local,0.3708,-0.1950,0.8636,0.1390,indistinguishable from null
completion,nanobot,-0.0152,-0.5010,0.5020,0.9490,indistinguishable from null
completion,nullclaw,-0.5848,-0.9248,-0.2103,0.0200,compensatory
completion,openclaw-local,0.3746,-1.2575,2.4124,0.1270,indistinguishable from null
completion,zeroclaw-local,-0.3550,-1.1107,0.2588,0.1550,indistinguishable from null
combined,hermes,0.4954,0.1083,0.8482,0.0390,anti-compensatory
combined,moltis-local,0.2618,-0.0356,0.5348,0.2830,indistinguishable from null
combined,nanobot,0.2847,-0.0062,0.5764,0.2100,indistinguishable from null
combined,nullclaw,-0.4342,-0.7276,-0.1250,0.0820,indistinguishable from null
combined,openclaw-local,-1.0953,-1.8901,-0.1791,0.0000,compensatory
combined,zeroclaw-local,0.5446,0.0854,0.9898,0.0240,anti-compensatory
